SiteID,County,City,DBA,Licensee,PremisesStreet,PremisesCityState,LicenseNumber,LicenseType,Status,IssueDate,EffectiveDate,ExpiryDate
3012,Fayette,Lexington,Marathon Main Street,Unique Foodmart LLC ,1396 W Main St,"Lexington, KY 40508",034-NQ-180802,NQ Retail Malt Beverage Package License,Active,4/5/21,4/5/21,11/30/22
799,Fayette,Lexington,Marathon Station East Main,"I SHREE, INC. ",801 E Main St,"Lexington, KY 40502",034-NQ-2776,NQ Retail Malt Beverage Package License,Active,5/13/13,6/25/13,11/30/22
22845,Fayette,Lexington,"Maria's Kitchen, La Cocina de Maria, LLC","MARIA'S KITCHEN, LA COCINA DE MARIA, LLC ","803, 805, 809 N Broadway","Lexington, KY 40508",034-RS-4318,Special Sunday Retail Drink License,Active,4/26/16,4/26/16,11/30/22
22845,Fayette,Lexington,"Maria's Kitchen, La Cocina de Maria, LLC","MARIA'S KITCHEN, LA COCINA DE MARIA, LLC ","803, 805, 809 N Broadway","Lexington, KY 40508",034-NQ2-2934,NQ2 Retail Drink License,Active,4/26/16,4/26/16,11/30/22
4562,Fayette,Lexington,Marikka's,"MARIKKA'S RESTAURANT, INC. ",411 Southland Dr Unit A,"Lexington, KY 40503",034-NQ4-4150,NQ4 Retail Malt Beverage Drink License,Active,4/17/18,4/17/18,11/30/22
4562,Fayette,Lexington,Marikka's,"MARIKKA'S RESTAURANT, INC. ",411 Southland Dr Unit A,"Lexington, KY 40503",034-LD-2635,Quota Retail Drink License,Active,4/17/18,4/17/18,11/30/22
4562,Fayette,Lexington,Marikka's,"MARIKKA'S RESTAURANT, INC. ",411 Southland Dr Unit A,"Lexington, KY 40503",034-RS-4983,Special Sunday Retail Drink License,Active,2/21/18,2/21/18,11/30/22
28471,Fayette,Lexington,Marque LLC,"Marque, LLC ",177 N Upper St,"Lexington, KY 40507",034-LD-189522,Quota Retail Drink License,Active,3/21/22,3/21/22,11/30/22
28471,Fayette,Lexington,Marque LLC,"Marque, LLC ",177 N Upper St,"Lexington, KY 40507",034-LP-189523,Quota Retail Package License,Active,3/21/22,3/21/22,11/30/22
28471,Fayette,Lexington,Marque LLC,"Marque, LLC ",177 N Upper St,"Lexington, KY 40507",034-RS-189524,Special Sunday Retail Drink License,Active,3/21/22,3/21/22,11/30/22
28471,Fayette,Lexington,Marque LLC,"Marque, LLC ",177 N Upper St,"Lexington, KY 40507",034-NQ4-189525,NQ4 Retail Malt Beverage Drink License,Active,3/21/22,3/21/22,11/30/22
28471,Fayette,Lexington,Marque LLC,"Marque, LLC ",177 N Upper St,"Lexington, KY 40507",034-NQ-189526,NQ Retail Malt Beverage Package License,Active,3/21/22,3/21/22,11/30/22
4715,Fayette,Lexington,Marriott Lexington Griffin Gate,"AIMBRIDGE HOSPITALITY, LLC ",1800 Newtown Pike,"Lexington, KY 40511",034-NQ1-159571,NQ1 Retail Drink License,Active,2/11/20,2/7/20,8/31/23
4715,Fayette,Lexington,Marriott Lexington Griffin Gate,"AIMBRIDGE HOSPITALITY, LLC ",1800 Newtown Pike,"Lexington, KY 40511",034-LP-159572,Quota Retail Package License,Active,2/11/20,2/7/20,8/31/23
